GameId,Year,Round,Date,MaxTemp,MinTemp,Rainfall,Venue,StartTime,Attendance,HomeTeam,HomeTeamScoreQT,HomeTeamScoreHT,HomeTeamScore3QT,HomeTeamScoreFT,HomeTeamScore,AwayTeam,AwayTeamScoreQT,AwayTeamScoreHT,AwayTeamScore3QT,AwayTeamScoreFT,AwayTeamScore
2012R1503,2012,R15,2012-07-07,13.3,0.0,0.0,M.C.G.,2:10 PM,46773.0,Melbourne,1.0,4.4,5.6,11.12,78.0,Richmond,4.6,6.12,9.2,13.23,101
2012R1504,2012,R15,2012-07-07,14.5,9.0,1.6,S.C.G.,4:40 PM,19419.0,Sydney,4.2,10.7,15.12,16.14,110.0,Brisbane Lions,3.4,7.4,8.7,9.9,63
2012R1505,2012,R15,2012-07-07,15.1,2.9,0.0,Football Park,7:10 PM,34829.0,Port Adelaide,2.1,4.6,7.8,8.1,58.0,Adelaide,5.2,9.6,13.8,17.14,116
2012R1506,2012,R15,2012-07-07,13.3,0.0,0.0,Docklands,7:40 PM,45838.0,St Kilda,4.3,9.5,15.6,21.7,133.0,Essendon,3.5,5.6,7.8,8.14,62
2012R1507,2012,R15,2012-07-08,14.6,0.2,0.0,M.C.G.,1:10 PM,26518.0,Hawthorn,5.6,11.11,19.15,25.100000000000005,160.5,Greater Western Sydney,1.2,2.4,3.5,4.7,31
2012R1508,2012,R15,2012-07-08,21.5,12.4,0.0,Carrara,3:15 PM,15824.0,Gold Coast,4.6,6.9,9.14,13.18,96.0,Geelong,2.6,5.12,12.15,15.2,110
2012R1509,2012,R15,2012-07-08,16.0,7.8,0.2,Subiaco,2:40 PM,30420.0,Fremantle,2.3,4.7,10.1,14.11,95.0,Western Bulldogs,1.2,4.4,7.6,8.9,57
2012R1601,2012,R16,2012-07-13,14.0,8.7,3.4999999999999996,Docklands,7:50 PM,46423.0,North Melbourne,6.1,12.2,19.15,24.5,149.0,Carlton,3.4,6.9,9.9,14.12,96
2012R1602,2012,R16,2012-07-14,13.7,7.9,0.4,Docklands,1:45 PM,13284.0,Melbourne,6.4,8.6,12.7,12.11,83.0,Fremantle,3.2,6.5,11.6,18.9,117
2012R1603,2012,R16,2012-07-14,13.9,7.9,3.4999999999999996,Football Park,1:40 PM,17344.0,Port Adelaide,4.3,8.6,11.9,11.11,77.0,Essendon,4.2,8.4,13.8,19.13,127
